,description
381,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Excel', 'data analytics', 'financial data', 'procurement', 'data manipulation', 'data visualization']}"
382,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['Core Java', 'javascript', 'C++', 'software programming', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'Github', 'Kubernates', 'REST API', 'Statistics', 'Gen AI', 'LLM', 'Sagemaker', 'Python', 'Computer Vision', 'data visualization']}"
383,"{'min_years_of_experience': 0, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['Alteryx', 'JQL']}"
384,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['analytics', 'SQL', 'Power BI', 'data sets', 'claims data', 'communication', 'EPIC', 'EHR']}"
385,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analytics', 'data visualization', 'SQL', 'Power BI', 'ETL', 'Excel', 'Python']}"
386,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data management', 'data warehousing', 'analytics tools', 'data governance', 'data quality', 'regulatory compliance', 'leadership', 'project management', 'communication']}"
387,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 74500, 'max_yearly_salary': 151600, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Analytical', 'Data Visualization', 'Technical Aptitude', 'Project Management', 'Solution-oriented', 'Reliable', 'Flexible', 'Strong Communication', 'Self-starter']}"
388,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['SQL', 'scripting languages', 'Excel', 'Google Sheets', 'oncology', 'cancer genomics', 'molecular biology', 'clinical trials', 'data manipulation', 'data cleaning', 'data visualization', 'communication', 'project management', 'automation']}"
389,"{'min_years_of_experience': 6, 'min_hourly_salary': 100, 'max_hourly_salary': 125, 'min_yearly_salary': 200000, 'max_yearly_salary': 250000, 'required_degree': None, 'remote_work': True, 'required_skills': ['analytics', 'SaaS', 'product-led growth', 'SQL', 'Looker', 'Hashboard', 'Omni', 'Python', 'R', 'statistical modeling', 'data-driven recommendations']}"
390,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 90000, 'max_yearly_salary': 130000, 'required_degree': None, 'remote_work': True, 'required_skills': ['data analysis', 'business analysis', 'business intelligence', 'reporting', 'data governance', 'data management', 'analytical skills', 'project management', 'Excel', 'Power BI', 'technical communication', 'user liaison']}"
391,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 48000, 'max_yearly_salary': 57000, 'required_degree': None, 'remote_work': False, 'required_skills': ['data entry', 'Microsoft Office', 'Excel', 'Outlook', 'Access', 'communication', 'organizational skills', 'problem-solving', 'critical-thinking']}"
392,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data visualization', 'dashboard design', 'data analytics', 'report generation', 'user testing', 'customer service', 'mentoring']}"
393,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data science', 'business intelligence', 'statistical analysis', 'data governance', 'analytical skills', 'aviation industry']}"
394,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'Tableau', 'data modeling', 'database design', 'ETL', 'data integration', 'data warehousing', 'analytical skills', 'problem-solving', 'communication']}"
395,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['quantitative research', 'predictive models', 'statistical techniques', 'machine learning', 'algorithm development']}"
396,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['forensic data collection', 'forensic analysis', 'legal coordination', 'forensic tool maintenance', 'project management', 'documenting procedures', 'chain of custody', 'standard operating procedures', 'quality checks', 'IT functions', 'organizing skills', 'communication', 'travel', 'workflow documentation', 'team training', 'troubleshooting']}"
397,"{'min_years_of_experience': 12, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data analytics', 'machine learning', 'statistical analysis', 'data visualization', 'Power BI', 'Tableau', 'R', 'Python']}"
398,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['quantitative skills', 'problem-solving', 'programming', 'data processing', 'client support', 'Perl', 'Java', 'Python', 'HTML', 'JavaScript', 'VisualBasic', 'MySQL', 'Windows Administration', 'Linux Administration']}"
399,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'dashboard development', 'MS Office', 'programming']}"
400,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['project management', 'problem-solving', 'organization', 'interpersonal', 'teamwork', 'communication', 'technical writing', 'Microsoft Office', 'Python', 'SQL', 'R']}"
401,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 44419, 'max_yearly_salary': 62186, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'statistical analysis', 'Microsoft Excel', 'problem-solving']}"
402,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 79700, 'max_yearly_salary': 111300, 'required_degree': None, 'remote_work': True, 'required_skills': ['Excel', 'Microsoft Office', 'communication', 'detail oriented', 'initiative', 'SAP', 'Google Looker']}"
403,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['data analysis', 'BI tools', 'SQL', 'Excel']}"
404,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['SQL', 'BigQuery', 'data visualization', 'Excel', 'communication', 'E-commerce', 'Digital Marketing']}"
405,"{'min_years_of_experience': 8, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 120000, 'max_yearly_salary': 177000, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Data Analysis', 'Strategy Development', 'Tool Evaluation', 'Data Governance', 'Performance Monitoring', 'Stakeholder Engagement', 'Project Management', 'Communication Skills', 'Continuous Learning']}"
406,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 66000, 'max_yearly_salary': 86940, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'business analytics', 'complex problem solving', 'business strategy', 'critical thinking', 'analytical reasoning', 'programming languages', 'Python', 'R', 'SQL', 'data visualization', 'Tableau', 'Power BI', 'communication skills']}"
407,"{'min_years_of_experience': 2, 'min_hourly_salary': 20, 'max_hourly_salary': 33, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'Bachelor’s', 'remote_work': False, 'required_skills': ['business experience', 'financial services', 'MS Excel', 'problem-solving', 'communication', 'independence']}"
408,"{'min_years_of_experience': 0, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 46770, 'max_yearly_salary': 74830, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['business analysis', 'project management', 'data analytics', 'Microsoft Power BI', 'capacity management']}"
409,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 110000, 'max_yearly_salary': 145000, 'required_degree': None, 'remote_work': True, 'required_skills': ['SQL', 'Python', 'data visualization', 'analytics', 'storytelling', 'collaboration', 'problem solving']}"
410,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 44419, 'max_yearly_salary': 62186, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'statistical analysis', 'Microsoft Excel', 'organizational skills', 'problem-solving skills']}"
411,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 44419, 'max_yearly_salary': 62186, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'statistical analysis', 'Microsoft Excel', 'problem-solving']}"
412,"{'min_years_of_experience': 10, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['intelligence analysis', 'threat analysis', 'collaboration', 'expert advice', 'government briefings', 'combat operations']}"
413,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 120000, 'max_yearly_salary': 125000, 'required_degree': None, 'remote_work': True, 'required_skills': ['Excel', 'SQL', 'data analysis', 'data visualization', 'EMR extraction', 'communication', 'critical thinking']}"
414,"{'min_years_of_experience': 7, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['sales analytics', 'product analytics', 'web analytics', 'customer analytics', 'data storytelling', 'SQL', 'Databrick', 'A/B testing', 'Tableau', 'Excel', 'Advanced Analytics', 'Python', 'R', 'machine learning']}"
415,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Power BI', 'analytics', 'business reporting', 'manufacturing', 'MySQL', 'MSSQL', 'Oracle', 'SQL', 'analytical skills', 'process optimization', 'cross-functional teams']}"
416,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['AI', 'Python programming', 'data analytics', 'data integration', 'data warehousing', 'machine learning', 'problem-solving', 'communication', 'collaboration']}"
417,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'Associate’s degree or Bachelor’s degree', 'remote_work': True, 'required_skills': ['SQL Reporting', 'SQL database design', 'Microsoft Office Suite', 'Excel', 'SharePoint', 'Microsoft Power Apps', 'Power Automate', 'Power Bi', 'software solutions', 'programming languages']}"
418,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS/PHD', 'remote_work': False, 'required_skills': ['data analysis', 'data visualization', 'Python', 'R', 'SQL', 'statistical analysis', 'machine learning', 'big data', 'data manipulation', 'database management', 'communication']}"
419,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 100000, 'max_yearly_salary': 120000, 'required_degree': 'MS/PhD', 'remote_work': False, 'required_skills': ['data analysis', 'database development', 'data cleaning', 'data visualization', 'statistical tools', 'Bayesian inference', 'food safety']}"
420,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['project management', 'problem-solving', 'organizational skills', 'interpersonal skills', 'teamwork', 'communication', 'Microsoft Office', 'programming']}"
421,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['process redesign', 'system implementation', 'return on investment', 'organizational change', 'client service', 'communication', 'presentation', 'relationship building', 'independent work', 'team player', 'Microsoft Office', 'Minitab']}"
422,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['Business Intelligence', 'Power BI', 'SQL', 'ETL', 'data modeling', 'data transformation', 'visual reports', 'dashboards', 'KPI scorecards', 'sales', 'billing', 'customer service']}"
423,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Power BI', 'data visualization', 'data modeling', 'data analysis', 'statistical analysis', 'stakeholder management', 'documentation', 'training']}"
424,"{'min_years_of_experience': None, 'min_hourly_salary': 45, 'max_hourly_salary': 61, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['SQL', 'statistics', 'data visualization', 'business analysis']}"
425,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS/PHD', 'remote_work': False, 'required_skills': ['SQL', 'statistical modeling', 'causal inference', 'experimentation', 'Python', 'R', 'data visualization']}"
426,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['Business Intelligence', 'reporting solutions', 'data modeling', 'data transformation', 'SQL', 'ETL', 'visual reports', 'dashboards', 'KPI scorecards', 'customer service']}"
427,"{'min_years_of_experience': None, 'min_hourly_salary': 16, 'max_hourly_salary': 75, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['data science', 'analytics', 'machine learning', 'SQL', 'Excel', 'problem solving']}"
428,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': []}"
429,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': None, 'required_skills': ['data analytics', 'business intelligence', 'marketing analytics', 'product analytics', 'strategy', 'operations', 'analytical tools', 'SQL', 'Excel', 'Tableau', 'data visualization', 'statistical analysis', 'predictive modeling', 'data model optimization']}"
430,"{'min_years_of_experience': None, 'min_hourly_salary': 25, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MBA', 'remote_work': False, 'required_skills': ['analytical skills', 'communication', 'organizational skills', 'teamwork', 'multi-tasking', 'Excel', 'PowerPoint', 'Word', 'data analytics', 'data visualization']}"
431,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data governance', 'data management', 'data quality', 'metadata management', 'data privacy', 'stakeholder management', 'change management']}"
432,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['data', 'SQL', 'AML', 'Fraud', 'Risk', 'KYC', 'Financial Crimes', 'analytical', 'problem-solving', 'communication', 'collaboration']}"
433,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data entry', 'Microsoft Office', 'organizational skills', 'communication skills', 'analytical skills', 'problem-solving skills', 'attention to detail', 'quality control']}"
434,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data management', 'data analysis', 'product management', 'technical attributes', 'communication', 'collaboration', 'problem-solving', 'organizational abilities']}"
435,"{'min_years_of_experience': 2, 'min_hourly_salary': 40, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['market research', 'data analysis', 'Power BI', 'project management', 'survey design', 'financial statements', 'communication']}"
436,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'MS', 'remote_work': False, 'required_skills': ['web analytics', 'A/B testing', 'causal inference', 'SQL', 'Python', 'R', 'data visualization', 'data manipulation', 'big data', 'machine learning', 'data storytelling']}"
437,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'report writing', 'budget management', 'cost tracking', 'Maximo software', 'Microsoft Office', 'accounting methods']}"
438,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data visualization', 'statistical models', 'data mining', 'predictive analytics', 'tableau visualization']}"
439,"{'min_years_of_experience': None, 'min_hourly_salary': 30, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Math', 'AI', 'factuality', 'evaluation', 'communication']}"
440,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 97300, 'max_yearly_salary': 144900, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['data analysis', 'digital marketing', 'analytical solutions', 'data mining', 'trend analyses', 'forecasting', 'project management', 'communication']}"
441,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': False, 'required_skills': ['data management', 'compliance assessment', 'data quality rules', 'data health reporting']}"
442,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['Business Intelligence', 'SQL', 'Python', 'Advanced analytics', 'Forecasting', 'Microsoft Excel', 'PowerQuery', 'PowerPivot', 'PowerBI', 'Process improvements', 'Communication', 'Teamwork']}"
443,"{'min_years_of_experience': 4, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 53200, 'max_yearly_salary': 79800, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analytics', 'visualization tools', 'SQL', 'Excel', 'statistical analysis', 'report design', 'data synthesis']}"
444,"{'min_years_of_experience': 5, 'min_hourly_salary': 58, 'max_hourly_salary': 63, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'data visualization', 'data structures', 'algorithms', 'statistical methods', 'Python', 'R', 'user interfaces', 'systems development', 'Hadoop', 'relational databases', 'data analysis', 'database design', 'Data Lake', 'Data Warehouse', 'BI', 'communication', 'organizational skills']}"
445,"{'min_years_of_experience': None, 'min_hourly_salary': 21, 'max_hourly_salary': 30, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['data analytics', 'data science', 'visualization tools', 'quantitative methods', 'data visualization', 'statistics', 'customer service', 'interpersonal skills', 'engineering tools', 'machine learning', 'program management', 'programming']}"
446,"{'min_years_of_experience': 3, 'min_hourly_salary': 35, 'max_hourly_salary': 45, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Tableau', 'SQL', 'Python', 'Excel', 'data analytics']}"
447,"{'min_years_of_experience': 2, 'min_hourly_salary': 28, 'max_hourly_salary': 49, 'min_yearly_salary': 59850, 'max_yearly_salary': 102600, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'report creation', 'data mining', 'data visualization', 'SQL', 'presentations', 'data validation']}"
448,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 70000, 'max_yearly_salary': 80000, 'required_degree': 'Bachelors', 'remote_work': True, 'required_skills': ['Retail Banking', 'Consulting', 'Financial Services', 'Business Intelligence', 'data analytics', 'problem solving', 'quantitative analysis', 'communication', 'organizational skills']}"
449,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['SQL', 'Tableau', 'Dashboards', 'Scrum', 'Agile', 'Cloud Native', 'Linux', 'AWS', 'Python', 'Relational Database', 'Terraform', 'Ansible', 'Docker', 'Kubernetes', 'Agile Development', 'Network Automation']}"
450,"{'min_years_of_experience': 2, 'min_hourly_salary': 40, 'max_hourly_salary': 50, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['Statistical skills', 'business intelligence tools', 'SAS', 'R', 'Scripting language', 'SQL', 'PYTHON', 'Larger data processing', 'Spark', 'Modeling experience', 'Analytic skills', 'Financial models', 'Microsoft Excel', 'Communication skills']}"
451,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'Oracle EBS', 'data visualization', 'Tableau', 'Power BI', 'Oracle BI', 'analytical skills', 'problem-solving', 'communication', 'interpersonal skills']}"
452,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': True, 'required_skills': ['coding', 'teamwork', 'Microsoft Office', 'communication', 'data science', 'statistical analysis', 'software development']}"
453,"{'min_years_of_experience': None, 'min_hourly_salary': 48, 'max_hourly_salary': 58, 'min_yearly_salary': 100000, 'max_yearly_salary': 120000, 'required_degree': 'BS/BA', 'remote_work': False, 'required_skills': ['customer support', 'project management', 'organizational skills', 'MS Excel', 'data analysis', 'market data knowledge', 'communication skills']}"
454,"{'min_years_of_experience': None, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS/MS', 'remote_work': False, 'required_skills': ['Core Java', 'JavaScript', 'C++', 'Spring Boot', 'Microservices', 'Docker', 'Jenkins', 'GitHub', 'Kubernetes', 'REST API', 'Statistics', 'Gen AI', 'LLM', 'Sagemaker', 'Python', 'Computer Vision', 'Data Visualization']}"
455,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'data architecture', 'SQL', 'Python', 'data visualization']}"
456,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'Graduate degree', 'remote_work': False, 'required_skills': ['data analysis', 'SQL', 'statistics', 'programming', 'marketing', 'SAS']}"
457,"{'min_years_of_experience': 7, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': None, 'remote_work': True, 'required_skills': ['Project Management', 'Technical Support', 'Data Management', 'Data Quality Management', 'Consultative Problem Solving', 'Data Models', 'Distributed Transaction Processing', 'SQL Server', 'AWS Cloud', 'Communication', 'Collaboration', 'Solution Delivery']}"
458,"{'min_years_of_experience': 4, 'min_hourly_salary': 37, 'max_hourly_salary': 47, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'statistical analysis', 'data mining', 'database design', 'data modeling', 'visualization', 'data quality', 'predictive analysis', 'project management', 'reporting']}"
459,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': 103000, 'required_degree': None, 'remote_work': True, 'required_skills': ['cybersecurity', 'OSINT', 'ransomware', 'malware', 'intelligence analysis']}"
460,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 67349, 'max_yearly_salary': 97344, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['information analysis', 'analytical charting', 'report writing', 'data analysis', 'problem-solving', 'communication', 'Microsoft Office']}"
461,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 51900, 'max_yearly_salary': 82900, 'required_degree': None, 'remote_work': False, 'required_skills': ['analytical skills', 'problem-solving skills', 'SQL Server', 'ETL', 'healthcare data', 'project management', 'communication skills', 'organizational skills', 'Microsoft Office']}"
462,"{'min_years_of_experience': 3, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 100480, 'max_yearly_salary': 165070, 'required_degree': None, 'remote_work': True, 'required_skills': ['data analytics', 'reporting dashboards', 'Power BI', 'Tableau', 'SQL', 'SparkSQL', 'cloud-based data warehouses', 'exploratory analysis', 'UI/UX', 'communication', 'agile', 'Scrum']}"
463,"{'min_years_of_experience': 1, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'Bachelors Degree', 'remote_work': False, 'required_skills': ['financial data analytics', 'excel', 'analytical findings']}"
464,"{'min_years_of_experience': 2, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': 85000, 'max_yearly_salary': 85000, 'required_degree': 'BS/MS', 'remote_work': True, 'required_skills': ['tagging plan', 'web analytics', 'Google Analytics', 'Adobe Analytics', 'tag management systems', 'JavaScript', 'CSS', 'HTML', 'Data Management Platforms', 'website optimization', 'customer journey optimization']}"
465,"{'min_years_of_experience': 5, 'min_hourly_salary': None, 'max_hourly_salary': None, 'min_yearly_salary': None, 'max_yearly_salary': None, 'required_degree': 'BS', 'remote_work': False, 'required_skills': ['data analysis', 'dashboard building', 'SQL', 'Excel', 'data visualization', 'project management', 'communication']}"
