,applicationsCount,applyType,applyUrl,benefits,companyId,companyName,companyUrl,contractType,experienceLevel,id,jobUrl,location,postedTime,posterFullName,posterProfileUrl,publishedAt,salary,sector,title,workType,min_years_of_experience,min_hourly_salary,max_hourly_salary,min_yearly_salary,max_yearly_salary,required_degree,remote_work,required_skills
385,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analyst-w-product-managment-experience-at-maven-4098243347?trk=public_jobs_topcard-title,,10640787.0,Maven,https://www.linkedin.com/company/choosemaven?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4098243347,https://www.linkedin.com/jobs/view/data-analyst-w-product-managment-experience-at-maven-4098243347?trk=public_jobs_topcard-title,United States,5 days ago,Suresh Rachuri,https://www.linkedin.com/in/rachuri,2024-12-11,"$100,000.00/yr - $130,000.00/yr","Hospitals and Health Care, Medical Equipment Manufacturing, and Retail Health and Personal Care Products",Data Analyst w Product Managment experience,Information Technology,5.0,,,,,BS,False,"['data analytics', 'data visualization', 'SQL', 'Power BI', 'ETL', 'Excel', 'Python']"
386,175 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-and-analytics-specialist-at-star-cutter-company-4095522729?trk=public_jobs_topcard-title,"Medical insurance
Vision insurance
Dental insurance
401(k)
Tuition assistance
Disability insurance",2127863.0,Star Cutter Company,https://www.linkedin.com/company/star-cutter-company?trk=public_jobs_topcard-org-name,Full-time,Associate,4095522729,https://www.linkedin.com/jobs/view/data-and-analytics-specialist-at-star-cutter-company-4095522729?trk=public_jobs_topcard-title,"Farmington Hills, MI",4 days ago,"Dreamala Hicks, SHRM-CP",https://www.linkedin.com/in/dreamala-hicks-shrm-cp-0857647a,2024-12-12,,"Machinery Manufacturing, Industrial Machinery Manufacturing, and Manufacturing",Data and Analytics Specialist,Information Technology and Analyst,3.0,,,,,BS,False,"['data management', 'data warehousing', 'analytics tools', 'data governance', 'data quality', 'regulatory compliance', 'leadership', 'project management', 'communication']"
387,126 applicants,EXTERNAL,https://careers.thomsonreuters.com/us/en/job/THTTRUUSJREQ185867EXTERNALENUS/Data-Analyst-Government?utm_source=linkedin&utm_medium=phenom-feeds,,1400.0,Thomson Reuters,https://ca.linkedin.com/company/thomson-reuters?trk=public_jobs_topcard-org-name,Full-time,Associate,4099122015,https://www.linkedin.com/jobs/view/data-analyst-government-at-thomson-reuters-4099122015?trk=public_jobs_topcard-title,"Eagan, MN",3 days ago,,,2024-12-14,"$70,500.00/yr - $151,600.00/yr","Financial Services, Legal Services, and IT Services and IT Consulting","Data Analyst, Government",Information Technology,2.0,,,74500.0,151600.0,BS,True,"['Analytical', 'Data Visualization', 'Technical Aptitude', 'Project Management', 'Solution-oriented', 'Reliable', 'Flexible', 'Strong Communication', 'Self-starter']"
388,Over 200 applicants,EXTERNAL,https://boards.greenhouse.io/tempus/jobs/7643482002?source=LinkedIn,,10262473.0,Tempus AI,https://www.linkedin.com/company/tempusai?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4028896028,https://www.linkedin.com/jobs/view/senior-data-analyst-at-tempus-ai-4028896028?trk=public_jobs_topcard-title,"Chicago, IL",2 days ago,,,2024-12-14,,Biotechnology Research,Senior Data Analyst,Information Technology,3.0,,,,,,True,"['SQL', 'scripting languages', 'Excel', 'Google Sheets', 'oncology', 'cancer genomics', 'molecular biology', 'clinical trials', 'data manipulation', 'data cleaning', 'data visualization', 'communication', 'project management', 'automation']"
389,117 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/staff-data-analyst-gtm-at-harnham-4094043325?trk=public_jobs_topcard-title,"401(k)
Medical insurance
Vision insurance
Dental insurance",280603.0,Harnham,https://uk.linkedin.com/company/harnham?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4094043325,https://www.linkedin.com/jobs/view/staff-data-analyst-gtm-at-harnham-4094043325?trk=public_jobs_topcard-title,United States,6 days ago,,,2024-12-11,"$200,000.00/yr - $250,000.00/yr","Software Development, Technology, Information and Media, and Consumer Services",Staff Data Analyst - GTM,Analyst,6.0,100.0,125.0,200000.0,250000.0,,True,"['analytics', 'SaaS', 'product-led growth', 'SQL', 'Looker', 'Hashboard', 'Omni', 'Python', 'R', 'statistical modeling', 'data-driven recommendations']"
390,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/data-analytics-consultant-at-ag-consulting-partners-inc-4101181491?trk=public_jobs_topcard-title,,953285.0,"AG Consulting Partners, Inc.",https://www.linkedin.com/company/ag-consulting-partners-inc?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4101181491,https://www.linkedin.com/jobs/view/data-analytics-consultant-at-ag-consulting-partners-inc-4101181491?trk=public_jobs_topcard-title,"Redmond, WA",11 hours ago,,,2024-12-17,"$90,000.00/yr - $130,000.00/yr",Business Consulting and Services,Data & Analytics Consultant,Analyst,5.0,,,90000.0,130000.0,,True,"['data analysis', 'business analysis', 'business intelligence', 'reporting', 'data governance', 'data management', 'analytical skills', 'project management', 'Excel', 'Power BI', 'technical communication', 'user liaison']"
391,79 applicants,EXTERNAL,https://dc1prodrecruiting.paylocity.com/Recruiting/Jobs/Details/2916276/DJS-FINANCIAL-SERVICES-LLC?source=LinkedIn_Feed,,11121520.0,DJS Consulting Group,https://www.linkedin.com/company/djsconsultinggroup?trk=public_jobs_topcard-org-name,Full-time,Entry level,4099376222,https://www.linkedin.com/jobs/view/data-analyst-at-djs-consulting-group-4099376222?trk=public_jobs_topcard-title,"Boston, MA",3 days ago,,,2024-12-13,,Business Consulting and Services,Data Analyst,Information Technology,2.0,,,48000.0,57000.0,,False,"['data entry', 'Microsoft Office', 'Excel', 'Outlook', 'Access', 'communication', 'organizational skills', 'problem-solving', 'critical-thinking']"
392,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-encore-talent-solutions-4077486226?trk=public_jobs_topcard-title,,101394644.0,Encore Talent Solutions,https://www.linkedin.com/company/helloencore?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4077486226,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-encore-talent-solutions-4077486226?trk=public_jobs_topcard-title,"Edgewood, KY",6 days ago,Randy Crenshaw,https://www.linkedin.com/in/randy-crenshaw-2807342,2024-12-10,$35.00/hr - $54.00/hr,Hospitals and Health Care,Business Intelligence Analyst,Information Technology,,,,,,BS,False,"['data visualization', 'dashboard design', 'data analytics', 'report generation', 'user testing', 'customer service', 'mentoring']"
393,Over 200 applicants,EXTERNAL,https://careers.dfwairport.com/jobs/14342459-enterprise-analytics-manager?tm_event=view&tm_company=2445&tm_job=1007664-1A&bid=56,,14251.0,Dallas Fort Worth International Airport (DFW),https://www.linkedin.com/company/dfwairport?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,3940725865,https://www.linkedin.com/jobs/view/sr-data-analyst-sql-at-dallas-fort-worth-international-airport-dfw-3940725865?trk=public_jobs_topcard-title,"Dallas, TX",5 days ago,Juan Mora,https://www.linkedin.com/in/juan-mora-1a6b7914,2024-12-11,,Airlines and Aviation,Sr. Data Analyst (SQL),Information Technology,5.0,,,,,BS,False,"['data science', 'business intelligence', 'statistical analysis', 'data governance', 'analytical skills', 'aviation industry']"
394,191 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/technical-data-analyst-at-gardner-resources-consulting-llc-4099268756?trk=public_jobs_topcard-title,,37538.0,"Gardner Resources Consulting, LLC",https://www.linkedin.com/company/grcstaffing?trk=public_jobs_topcard-org-name,Contract,Not Applicable,4099268756,https://www.linkedin.com/jobs/view/technical-data-analyst-at-gardner-resources-consulting-llc-4099268756?trk=public_jobs_topcard-title,"Lowell, MA",4 days ago,,,2024-12-12,,Higher Education,Technical Data Analyst,Information Technology,5.0,,,,,BS,False,"['SQL', 'Tableau', 'data modeling', 'database design', 'ETL', 'data integration', 'data warehousing', 'analytical skills', 'problem-solving', 'communication']"
395,151 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/quantitative-researcher-at-saragossa-4101192667?trk=public_jobs_topcard-title,"Medical insurance
Vision insurance
Dental insurance
401(k)
Disability insurance
Paid paternity leave
Paid maternity leave",9215489.0,Saragossa,https://uk.linkedin.com/company/saragossa?trk=public_jobs_topcard-org-name,Full-time,Not Applicable,4101192667,https://www.linkedin.com/jobs/view/quantitative-researcher-at-saragossa-4101192667?trk=public_jobs_topcard-title,New York City Metropolitan Area,11 hours ago,Maddie Weyeneth,https://www.linkedin.com/in/maddie-weyeneth-1663b918a,2024-12-17,,Financial Services and Investment Management,Quantitative Researcher,Finance,,,,,,,False,"['quantitative research', 'predictive models', 'statistical techniques', 'machine learning', 'algorithm development']"
396,Be among the first 25 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/digital-forensic-analyst-i-at-cgs-federal-contact-government-services-4102111331?trk=public_jobs_topcard-title,,11300833.0,CGS Federal (Contact Government Services),https://www.linkedin.com/company/contact-government-services-cgs?trk=public_jobs_topcard-org-name,Full-time,Associate,4102111331,https://www.linkedin.com/jobs/view/digital-forensic-analyst-i-at-cgs-federal-contact-government-services-4102111331?trk=public_jobs_topcard-title,"New York, NY",7 hours ago,,,2024-12-17,"$63,093.33/yr - $85,626.66/yr",Software Development,Digital Forensic Analyst I,"Other, Information Technology, and Management",1.0,,,,,BS,False,"['forensic data collection', 'forensic analysis', 'legal coordination', 'forensic tool maintenance', 'project management', 'documenting procedures', 'chain of custody', 'standard operating procedures', 'quality checks', 'IT functions', 'organizing skills', 'communication', 'travel', 'workflow documentation', 'team training', 'troubleshooting']"
397,Be among the first 25 applicants,EXTERNAL,https://phe.tbe.taleo.net/phe02/ats/careers/v2/viewRequisition?org=CELESTAR&cws=49&rid=4272,,446414.0,Celestar Holdings Corporation,https://www.linkedin.com/company/celestar-corporation?trk=public_jobs_topcard-org-name,Full-time,Entry level,4094434247,https://www.linkedin.com/jobs/view/intelligence-data-analyst-at-celestar-holdings-corporation-4094434247?trk=public_jobs_topcard-title,"Fort Meade, MD",5 days ago,,,2024-12-11,,Defense and Space Manufacturing,Intelligence Data Analyst,Information Technology,12.0,,,,,MS,False,"['data analytics', 'machine learning', 'statistical analysis', 'data visualization', 'Power BI', 'Tableau', 'R', 'Python']"
398,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/quantitative-analyst-at-intex-solutions-inc-4094009492?trk=public_jobs_topcard-title,"Medical insurance
401(k)
Dental insurance
Vision insurance",39108.0,"Intex Solutions, Inc.",https://www.linkedin.com/company/intex?trk=public_jobs_topcard-org-name,Full-time,Associate,4094009492,https://www.linkedin.com/jobs/view/quantitative-analyst-at-intex-solutions-inc-4094009492?trk=public_jobs_topcard-title,"Needham, MA",5 days ago,Pam Hoey,https://www.linkedin.com/in/pam-hoey-96b1271,2024-12-11,,Financial Services and Software Development,Quantitative Analyst,Analyst and Finance,1.0,,,,,BS,False,"['quantitative skills', 'problem-solving', 'programming', 'data processing', 'client support', 'Perl', 'Java', 'Python', 'HTML', 'JavaScript', 'VisualBasic', 'MySQL', 'Windows Administration', 'Linux Administration']"
399,Be among the first 25 applicants,EXTERNAL,https://us242.dayforcehcm.com/CandidatePortal/en-US/isone/Site/INTERNSHIPS/Posting/View/2616?src=linkedin,,19762.0,ISO New England Inc.,https://www.linkedin.com/company/iso-new-england?trk=public_jobs_topcard-org-name,Full-time,Internship,4094486949,https://www.linkedin.com/jobs/view/data-analyst-internship-at-iso-new-england-inc-4094486949?trk=public_jobs_topcard-title,"Holyoke, MA",5 days ago,,,2024-12-11,,"Utilities, Oil and Gas, and Renewable Energy Semiconductor Manufacturing",Data Analyst Internship,Information Technology,,,,,,MS,False,"['data analysis', 'data visualization', 'dashboard development', 'MS Office', 'programming']"
400,Over 200 applicants,EXTERNAL,http://careers.na.panasonic.com/jobs/38512?mode=apply&iis=LinkedIn&iisn=Linkedin&lang=en-us,,18290736.0,Panasonic Energy of North America,https://www.linkedin.com/company/panasonicnv?trk=public_jobs_topcard-org-name,Internship,Not Applicable,4024157023,https://www.linkedin.com/jobs/view/data-analytics-intern-at-panasonic-energy-of-north-america-4024157023?trk=public_jobs_topcard-title,"De Soto, KS",6 days ago,,,2024-12-10,,Automotive,Data Analytics Intern,Engineering,2.0,,,,,BS,False,"['project management', 'problem-solving', 'organization', 'interpersonal', 'teamwork', 'communication', 'technical writing', 'Microsoft Office', 'Python', 'SQL', 'R']"
401,43 applicants,EXTERNAL,https://rochester.wd5.myworkdayjobs.com/UR_Staff/job/Rochester\u002d\u002d-NY/Data-Analyst-I_R253898?source=LinkedIn,,5023.0,University of Rochester,https://www.linkedin.com/school/university-of-rochester/?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4101139733,https://www.linkedin.com/jobs/view/data-analyst-i-at-university-of-rochester-4101139733?trk=public_jobs_topcard-title,"Rochester, NY",15 hours ago,,,2024-12-17,"$44,419.00/yr - $62,186.00/yr",Higher Education,Data Analyst I,Information Technology,1.0,,,44419.0,62186.0,BS,False,"['data analysis', 'statistical analysis', 'Microsoft Excel', 'problem-solving']"
402,50 applicants,EXTERNAL,https://jobs.cardinalhealth.com/search/jobdetails/data-analyst-gpo-analytics/52288d5a-018c-4e2b-b328-83f71ef752b1?utm_campaign=linkedin_paid&utm_medium=paid_job_board&source=LinkedIn&utm_source=linkedin,,2162.0,Cardinal Health,https://www.linkedin.com/company/cardinal-health?trk=public_jobs_topcard-org-name,Full-time,Entry level,4094020943,https://www.linkedin.com/jobs/view/data-analyst-gpo-analytics-nationwide-at-cardinal-health-4094020943?trk=public_jobs_topcard-title,"Texas, United States",6 days ago,,,2024-12-11,"$79,700.00/yr - $111,300.00/yr","Hospitals and Health Care, Transportation, Logistics, Supply Chain and Storage, and Medical Equipment Manufacturing","Data Analyst, GPO Analytics - Nationwide",Information Technology,3.0,,,79700.0,111300.0,,True,"['Excel', 'Microsoft Office', 'communication', 'detail oriented', 'initiative', 'SAP', 'Google Looker']"
403,Over 200 applicants,EXTERNAL,https://grnh.se/68d85d624us,,64511369.0,Torq,https://www.linkedin.com/company/torqio?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4098848906,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-torq-4098848906?trk=public_jobs_topcard-title,"Denver, CO",5 days ago,,,2024-12-12,,"Technology, Information and Internet",Business Intelligence Analyst,"Research, Analyst, and Information Technology",2.0,,,,,,False,"['data analysis', 'BI tools', 'SQL', 'Excel']"
404,Over 200 applicants,EXTERNAL,https://job-boards.greenhouse.io/bruntworkwear/jobs/4423010006?gh_jid=4423010006,"Medical insurance
Vision insurance
Dental insurance
401(k)
Paid maternity leave
Paid paternity leave",68255671.0,BRUNT Workwear,https://www.linkedin.com/company/brunt-workwear?trk=public_jobs_topcard-org-name,Full-time,Associate,4102043982,https://www.linkedin.com/jobs/view/data-analyst-at-brunt-workwear-4102043982?trk=public_jobs_topcard-title,"North Reading, MA",12 hours ago,,,2024-12-17,,Retail Apparel and Fashion,Data Analyst,Analyst,1.0,,,,,,False,"['SQL', 'BigQuery', 'data visualization', 'Excel', 'communication', 'E-commerce', 'Digital Marketing']"
405,Over 200 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/sr-startup-data-analyst-strategist-innovation-center-contractor-at-lg-electronics-north-america-4063347626?trk=public_jobs_topcard-title,,35472496.0,LG Electronics North America,https://www.linkedin.com/company/lg-electronics-north-america?trk=public_jobs_topcard-org-name,Contract,Mid-Senior level,4063347626,https://www.linkedin.com/jobs/view/sr-startup-data-analyst-strategist-innovation-center-contractor-at-lg-electronics-north-america-4063347626?trk=public_jobs_topcard-title,"Santa Clara, CA",4 days ago,,,2024-12-12,"$120,000.00/yr - $177,000.00/yr",Consumer Electronics,"Sr. Startup Data Analyst & Strategist, Innovation Center (contractor)",Information Technology,8.0,,,120000.0,177000.0,BS,True,"['Data Analysis', 'Strategy Development', 'Tool Evaluation', 'Data Governance', 'Performance Monitoring', 'Stakeholder Engagement', 'Project Management', 'Communication Skills', 'Continuous Learning']"
406,Over 200 applicants,EXTERNAL,https://gartner.wd5.myworkdayjobs.com/EXT/job/Irving-TX/Data-Analysts-and-Senior-Data-Analysts_94069/apply?source=JB-10120,,2078.0,Gartner,https://www.linkedin.com/company/gartner?trk=public_jobs_topcard-org-name,Full-time,Not Applicable,4046724003,https://www.linkedin.com/jobs/view/data-analysts-and-senior-data-analysts-at-gartner-4046724003?trk=public_jobs_topcard-title,"Stamford, CT",18 hours ago,,,2024-12-17,"$66,000.00/yr - $86,940.00/yr","IT Services and IT Consulting, Information Services, and Research Services",Data Analysts and Senior Data Analysts,Information Technology,3.0,,,66000.0,86940.0,BS,True,"['data analysis', 'business analytics', 'complex problem solving', 'business strategy', 'critical thinking', 'analytical reasoning', 'programming languages', 'Python', 'R', 'SQL', 'data visualization', 'Tableau', 'Power BI', 'communication skills']"
407,Over 200 applicants,EXTERNAL,https://lplfinancial.wd1.myworkdayjobs.com/External/job/Fort-MillCharlotte/Associate-Data-Analyst\u002d\u002dOperations_R-040966?utm_term=331367885&ss=paid&utm_campaign=Annual_Media&utm_medium=job_posting&source=rd_linkedin_jobposting&utm_source=linkedin.com&utm_content=social_media,,5294.0,LPL Financial,https://www.linkedin.com/company/lpl-financial?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4083281678,https://www.linkedin.com/jobs/view/associate-data-analyst-operations-at-lpl-financial-4083281678?trk=public_jobs_topcard-title,"Fort Mill, SC",4 days ago,,,2024-12-13,$20.23/hr - $33.71/hr,Financial Services,"Associate Data Analyst, Operations",Information Technology,2.0,20.0,33.0,,,Bachelor’s,False,"['business experience', 'financial services', 'MS Excel', 'problem-solving', 'communication', 'independence']"
408,Over 200 applicants,EXTERNAL,https://click.appcast.io/track/kp0x9r4-org?cs=i1a&jg=5jxk&bid=lUf2CslKyPxm6i440ZgUYA==,,2113831.0,GovCIO,https://www.linkedin.com/company/govcio?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4045285443,https://www.linkedin.com/jobs/view/data-analyst-1-provisioning-team-at-govcio-4045285443?trk=public_jobs_topcard-title,"Washington, DC",6 days ago,,,2024-12-10,"$46,770.00/yr - $74,830.00/yr",Business Consulting and Services,Data Analyst 1 (Provisioning Team),Information Technology,0.0,,,46770.0,74830.0,BS,False,"['business analysis', 'project management', 'data analytics', 'Microsoft Power BI', 'capacity management']"
409,Over 200 applicants,EXTERNAL,https://boards.greenhouse.io/fetchrewards/jobs/6295713003?gh_src=35a8a54c3us,,3119710.0,Fetch,https://www.linkedin.com/company/fetch-rewards?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4097060815,https://www.linkedin.com/jobs/view/senior-data-analyst-beverage-at-fetch-4097060815?trk=public_jobs_topcard-title,United States,5 days ago,,,2024-12-11,,"Technology, Information and Internet","Senior Data Analyst, Beverage",Information Technology,4.0,,,110000.0,145000.0,,True,"['SQL', 'Python', 'data visualization', 'analytics', 'storytelling', 'collaboration', 'problem solving']"
410,52 applicants,EXTERNAL,https://rochester.wd5.myworkdayjobs.com/UR_Staff/job/Rochester\u002d\u002d-NY/Data-Analyst-I_R253868?source=LinkedIn,,5023.0,University of Rochester,https://www.linkedin.com/school/university-of-rochester/?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4101136883,https://www.linkedin.com/jobs/view/data-analyst-i-at-university-of-rochester-4101136883?trk=public_jobs_topcard-title,"Rochester, NY",15 hours ago,,,2024-12-17,"$44,419.00/yr - $62,186.00/yr",Higher Education,Data Analyst I,Information Technology,1.0,,,44419.0,62186.0,BS,False,"['data analysis', 'statistical analysis', 'Microsoft Excel', 'organizational skills', 'problem-solving skills']"
411,41 applicants,EXTERNAL,https://rochester.wd5.myworkdayjobs.com/UR_Staff/job/Rochester\u002d\u002d-NY/Data-Analyst-I_R253904?source=LinkedIn,,5023.0,University of Rochester,https://www.linkedin.com/school/university-of-rochester/?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4101135795,https://www.linkedin.com/jobs/view/data-analyst-i-at-university-of-rochester-4101135795?trk=public_jobs_topcard-title,"Rochester, NY",15 hours ago,,,2024-12-17,"$44,419.00/yr - $62,186.00/yr",Higher Education,Data Analyst I,Information Technology,1.0,,,44419.0,62186.0,BS,False,"['data analysis', 'statistical analysis', 'Microsoft Excel', 'problem-solving']"
412,Be among the first 25 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/all-source-intelligence-analyst-at-red-gate-group-4093670529?trk=public_jobs_topcard-title,,431699.0,Red Gate Group,https://www.linkedin.com/company/red-gate-group?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4093670529,https://www.linkedin.com/jobs/view/all-source-intelligence-analyst-at-red-gate-group-4093670529?trk=public_jobs_topcard-title,"Arlington, VA",6 days ago,,,2024-12-10,,Government Administration,All Source Intelligence Analyst,Analyst,10.0,,,,,BS,False,"['intelligence analysis', 'threat analysis', 'collaboration', 'expert advice', 'government briefings', 'combat operations']"
413,26 applicants,EXTERNAL,https://careers.gmr.net/gmr/jobs/45703?lang=en-us&iis=Job%20Board&iisn=LinkedIn,,25291.0,American Medical Response,https://www.linkedin.com/company/american-medical-response-1?trk=public_jobs_topcard-org-name,Full-time,Not Applicable,4102152583,https://www.linkedin.com/jobs/view/data-analyst-at-american-medical-response-4102152583?trk=public_jobs_topcard-title,"Vancouver, WA",1 hour ago,,,2024-12-17,"$120,000.00/yr - $125,000.00/yr",Hospitals and Health Care,Data Analyst,Information Technology,,,,120000.0,125000.0,,True,"['Excel', 'SQL', 'data analysis', 'data visualization', 'EMR extraction', 'communication', 'critical thinking']"
414,Over 200 applicants,EXTERNAL,https://dsp.prng.co/DAt2UUb,,1666.0,Intuit,https://www.linkedin.com/company/intuit?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4000392622,https://www.linkedin.com/jobs/view/staff-business-data-analyst-at-intuit-4000392622?trk=public_jobs_topcard-title,"San Diego, CA",18 hours ago,,,2024-12-17,,Software Development,Staff Business Data Analyst,Information Technology,7.0,,,,,BS,False,"['sales analytics', 'product analytics', 'web analytics', 'customer analytics', 'data storytelling', 'SQL', 'Databrick', 'A/B testing', 'Tableau', 'Excel', 'Advanced Analytics', 'Python', 'R', 'machine learning']"
415,51 applicants,EXTERNAL,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=6c78c9c0-056f-440c-91d2-2fe76f77061b&jobId=498482,,272935.0,Tacony Corporation,https://www.linkedin.com/company/tacony-corporation?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4095606972,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-tacony-corporation-4095606972?trk=public_jobs_topcard-title,"Fenton, MO",5 days ago,,,2024-12-12,,Wholesale,Business Intelligence Analyst,"Research, Analyst, and Information Technology",2.0,,,,,BS,False,"['Power BI', 'analytics', 'business reporting', 'manufacturing', 'MySQL', 'MSSQL', 'Oracle', 'SQL', 'analytical skills', 'process optimization', 'cross-functional teams']"
416,190 applicants,EXTERNAL,https://owensminor.wd1.myworkdayjobs.com/OMCareers/job/Mechanicsville-VA/Data-Analytics-Intern_REQ_24_19281/apply?source=LinkedIn,,1629.0,Owens & Minor,https://www.linkedin.com/company/owens-minor?trk=public_jobs_topcard-org-name,Full-time,Internship,4096175062,https://www.linkedin.com/jobs/view/data-analytics-intern-at-owens-minor-4096175062?trk=public_jobs_topcard-title,"Mechanicsville, VA",6 days ago,,,2024-12-10,,"Hospitals and Health Care, Transportation, Logistics, Supply Chain and Storage, and Warehousing and Storage",Data Analytics Intern,Information Technology,,,,,,BS,False,"['AI', 'Python programming', 'data analytics', 'data integration', 'data warehousing', 'machine learning', 'problem-solving', 'communication', 'collaboration']"
417,Be among the first 25 applicants,EXTERNAL,https://unisonriskadvisors.wd12.myworkdayjobs.com/RCMDCareers/job/Hunt-Valley/Data-Analyst\u002d\u002d-SISCO_JR262/apply?source=LinkedIn,,43103.0,RCM&D,https://www.linkedin.com/company/rcm-d?trk=public_jobs_topcard-org-name,Full-time,Entry level,4094493785,https://www.linkedin.com/jobs/view/data-analyst-sisco-at-rcm-d-4094493785?trk=public_jobs_topcard-title,"Hunt Valley, MD",5 days ago,,,2024-12-11,,Insurance,Data Analyst - SISCO,Information Technology,5.0,,,,,Associate’s degree or Bachelor’s degree,True,"['SQL Reporting', 'SQL database design', 'Microsoft Office Suite', 'Excel', 'SharePoint', 'Microsoft Power Apps', 'Power Automate', 'Power Bi', 'software solutions', 'programming languages']"
418,Over 200 applicants,EXTERNAL,https://www.koniag-gs.com/current-openings/?gni=8a78839f9341801a019345df998a1710&gnk=job&source=&lang=en&gns=LinkedIn%2BSponsored,,18954974.0,Koniag Government Services,https://www.linkedin.com/company/koniag-government-services?trk=public_jobs_topcard-org-name,Full-time,Entry level,4080834054,https://www.linkedin.com/jobs/view/data-analyst-at-koniag-government-services-4080834054?trk=public_jobs_topcard-title,"Chantilly, VA",5 days ago,,,2024-12-11,,IT Services and IT Consulting,Data Analyst,Information Technology,3.0,,,,,BS/MS/PHD,False,"['data analysis', 'data visualization', 'Python', 'R', 'SQL', 'statistical analysis', 'machine learning', 'big data', 'data manipulation', 'database management', 'communication']"
419,Over 200 applicants,EXTERNAL,https://talent.goldbelt.com/jobs/15633/Data+Analyst+IV?mode=job&iis=SOURCE&iisn=Linkedin&lang=en-US,,16112985.0,"Goldbelt C6, LLC",https://www.linkedin.com/company/goldbelt-c6-llc?trk=public_jobs_topcard-org-name,Full-time,Mid-Senior level,4083514614,https://www.linkedin.com/jobs/view/data-analyst-iv-at-goldbelt-c6-llc-4083514614?trk=public_jobs_topcard-title,United States,2 days ago,,,2024-12-14,"$100,000.00/yr - $120,000.00/yr",Health and Human Services,Data Analyst IV,Information Technology,3.0,,,100000.0,120000.0,MS/PhD,False,"['data analysis', 'database development', 'data cleaning', 'data visualization', 'statistical tools', 'Bayesian inference', 'food safety']"
420,Over 200 applicants,EXTERNAL,http://careers.na.panasonic.com/jobs/38517?mode=apply&iis=LinkedIn&iisn=Linkedin&lang=en-us,,18290736.0,Panasonic Energy of North America,https://www.linkedin.com/company/panasonicnv?trk=public_jobs_topcard-org-name,Internship,Not Applicable,4024150875,https://www.linkedin.com/jobs/view/data-analytics-intern-at-panasonic-energy-of-north-america-4024150875?trk=public_jobs_topcard-title,"De Soto, KS",6 days ago,,,2024-12-10,,Automotive,Data Analytics Intern,Engineering,2.0,,,,,BS,False,"['project management', 'problem-solving', 'organizational skills', 'interpersonal skills', 'teamwork', 'communication', 'Microsoft Office', 'programming']"
421,146 applicants,EASY_APPLY,https://www.linkedin.com/jobs/view/operations-data-analyst-at-strategic-systems-inc-4102111235?trk=public_jobs_topcard-title,,1941146.0,Strategic Systems Inc,https://www.linkedin.com/company/strategic-systems-inc-?trk=public_jobs_topcard-org-name,Full-time,Associate,4102111235,https://www.linkedin.com/jobs/view/operations-data-analyst-at-strategic-systems-inc-4102111235?trk=public_jobs_topcard-title,"Shaker Heights, OH",7 hours ago,Aaron Zupan,https://www.linkedin.com/in/aaronzupan,2024-12-17,"$50,000.00/yr - $62,000.00/yr",Hospitals and Health Care,Operations Data Analyst,Analyst and Other,1.0,,,,,BS,False,"['process redesign', 'system implementation', 'return on investment', 'organizational change', 'client service', 'communication', 'presentation', 'relationship building', 'independent work', 'team player', 'Microsoft Office', 'Minitab']"
